Miesiące#Rodzaje towarów i usług#Cena i wskaźniki#Rok#Wartosc#Jednostka miary
styczeń#ryż - za 1kg#cena#2018#3,83#zł
styczeń#mąka pszenna - za 1kg#cena#2018#2,53#zł
luty#ryż - za 1kg#cena#2018#3,81#zł
luty#mąka pszenna - za 1kg#cena#2018#2,49#zł
marzec#ryż - za 1kg#cena#2018#3,83#zł
marzec#mąka pszenna - za 1kg#cena#2018#2,44#zł
kwiecień#ryż - za 1kg#cena#2018#3,83#zł
kwiecień#mąka pszenna - za 1kg#cena#2018#2,46#zł
maj#ryż - za 1kg#cena#2018#3,83#zł
maj#mąka pszenna - za 1kg#cena#2018#2,47#zł
czerwiec#ryż - za 1kg#cena#2018#3,81#zł
czerwiec#mąka pszenna - za 1kg#cena#2018#2,47#zł
lipiec#ryż - za 1kg#cena#2018#3,77#zł
lipiec#mąka pszenna - za 1kg#cena#2018#2,52#zł
sierpień#ryż - za 1kg#cena#2018#3,77#zł
sierpień#mąka pszenna - za 1kg#cena#2018#2,53#zł
wrzesień#ryż - za 1kg#cena#2018#3,85#zł
wrzesień#mąka pszenna - za 1kg#cena#2018#2,52#zł
październik#ryż - za 1kg#cena#2018#3,81#zł
październik#mąka pszenna - za 1kg#cena#2018#2,51#zł
listopad#ryż - za 1kg#cena#2018#3,79#zł
listopad#mąka pszenna - za 1kg#cena#2018#2,54#zł
grudzień#ryż - za 1kg#cena#2018#3,80#zł
grudzień#mąka pszenna - za 1kg#cena#2018#2,51#zł
